,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
521,Kyle Walker,eng ENG,DF,Manchester City,32-334,1990,20,16,1381,15.3,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.5,35,116,56,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches,86dd77d1
522,Kyle Walker-Peters,eng ENG,DF,Southampton,26-014,1997,25,24,2110,23.4,1,0,1,1,0,0,3,0,0.8,0.8,1.0,1.9,78,77,95,0.04,0.00,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.08,Matches,984a5a64
523,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,25-152,1997,13,10,919,10.2,0,0,0,0,0,0,0,0,0.9,0.9,0.9,1.7,31,40,42,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.17,0.09,0.17,Matches,9e525177
524,Danny Ward,wls WAL,GK,Leicester City,29-309,1993,26,26,2340,26.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d3ce0e89
525,Joel Ward,eng ENG,DF,Crystal Palace,33-180,1989,23,19,1806,20.1,0,0,0,0,0,0,5,0,0.1,0.1,0.2,0.3,13,72,34,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches,8a7ff278
526,James Ward-Prowse,eng ENG,MF,Southampton,28-177,1994,32,32,2880,32.0,7,2,9,6,1,3,5,0,4.8,2.3,5.4,7.6,18,175,46,0.22,0.06,0.28,0.19,0.25,0.15,0.17,0.32,0.07,0.24,Matches,3515d404
527,Ollie Watkins,eng ENG,FW,Aston Villa,27-118,1995,32,31,2682,29.8,14,6,20,13,1,1,2,0,13.7,12.9,3.3,16.3,47,35,170,0.47,0.20,0.67,0.44,0.64,0.46,0.11,0.57,0.43,0.55,Matches,aed3a70f
528,Adam Webster,eng ENG,DF,Brighton,28-113,1995,23,19,1696,18.8,0,0,0,0,0,0,1,0,1.6,1.6,0.1,1.7,17,96,7,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.08,0.09,Matches,c40b6180
529,Wout Weghorst,nl NED,FWMF,Manchester Utd,30-263,1992,11,9,644,7.2,0,1,1,0,0,0,1,0,1.3,1.3,0.8,2.2,1,14,35,0.00,0.14,0.14,0.00,0.14,0.19,0.11,0.30,0.19,0.30,Matches,c4e87b8b
530,Danny Welbeck,eng ENG,FW,Brighton,32-152,1990,24,16,1493,16.6,4,2,6,4,0,0,0,0,7.9,7.9,2.7,10.6,22,37,110,0.24,0.12,0.36,0.24,0.36,0.48,0.16,0.64,0.48,0.64,Matches,ce5143da
531,Ben White,eng ENG,DF,Arsenal,25-201,1997,33,31,2605,28.9,2,5,7,2,0,0,5,0,1.3,1.3,3.0,4.3,55,219,116,0.07,0.17,0.24,0.07,0.24,0.05,0.10,0.15,0.05,0.15,Matches,35e413f1
532,Harvey White,eng ENG,MF,Tottenham,21-220,2001,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4d90ce8c
533,Joseph Whitworth,eng ENG,GK,Crystal Palace,19-057,2004,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3f847d95
534,Neco Williams,wls WAL,DF,Nott'ham Forest,22-014,2001,31,20,1882,20.9,1,0,1,1,0,0,7,0,1.3,1.3,1.4,2.7,51,33,67,0.05,0.00,0.05,0.05,0.05,0.06,0.07,0.13,0.06,0.13,Matches,dd323728
535,Willian,br BRA,FW,Fulham,34-261,1988,22,20,1710,19.0,3,3,6,3,0,0,2,0,2.9,2.9,3.1,6.0,79,90,119,0.16,0.16,0.32,0.16,0.32,0.15,0.16,0.32,0.15,0.32,Matches,8b9ebd03
536,Joe Willock,eng ENG,MF,Newcastle Utd,23-250,1999,30,26,2161,24.0,3,5,8,3,0,0,1,0,6.1,6.1,4.8,10.9,80,99,121,0.12,0.21,0.33,0.12,0.33,0.26,0.20,0.46,0.26,0.46,Matches,a3b03921
537,Callum Wilson,eng ENG,FW,Newcastle Utd,31-059,1992,24,16,1418,15.8,11,4,15,10,1,1,3,0,10.6,9.9,2.2,12.0,21,17,91,0.70,0.25,0.95,0.63,0.89,0.68,0.14,0.81,0.63,0.76,Matches,c596fcb0
538,Harry Wilson,wls WAL,FW,Fulham,26-036,1997,23,7,653,7.3,2,0,2,2,0,0,1,0,1.8,1.8,0.2,2.0,9,23,53,0.28,0.00,0.28,0.28,0.28,0.24,0.03,0.28,0.24,0.28,Matches,c6dc9ecd
539,Yoane Wissa,cd COD,FW,Brentford,26-236,1996,33,13,1320,14.7,5,2,7,5,0,0,2,0,3.9,3.9,2.3,6.3,19,24,89,0.34,0.14,0.48,0.34,0.48,0.27,0.16,0.43,0.27,0.43,Matches,2500cef9
540,Maximilian Wöber,at AUT,DF,Leeds United,25-082,1998,11,10,880,9.8,0,0,0,0,0,0,2,0,0.6,0.6,0.5,1.1,9,38,10,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.11,0.06,0.11,Matches,4b803b3c
541,Chris Wood,nz NZL,FW,Newcastle Utd,31-141,1991,18,4,446,5.0,2,0,2,1,1,1,0,0,1.8,1.0,0.3,1.3,1,4,23,0.40,0.00,0.40,0.20,0.20,0.37,0.06,0.43,0.21,0.27,Matches,4e9a0555
542,Chris Wood,nz NZL,FW,Nott'ham Forest,31-141,1991,7,5,372,4.1,1,0,1,1,0,0,0,0,1.0,1.0,0.2,1.2,2,7,12,0.24,0.00,0.24,0.24,0.24,0.23,0.05,0.28,0.23,0.28,Matches,4e9a0555
543,Joe Worrall,eng ENG,DF,Nott'ham Forest,26-107,1997,25,17,1837,20.4,1,0,1,1,0,0,6,0,0.5,0.5,0.8,1.4,5,57,1,0.05,0.00,0.05,0.05,0.05,0.03,0.04,0.07,0.03,0.07,Matches,a5212312
544,Granit Xhaka,ch SUI,MF,Arsenal,30-212,1992,32,31,2618,29.1,5,5,10,5,0,0,4,0,3.0,3.0,4.5,7.5,36,184,161,0.17,0.17,0.34,0.17,0.34,0.10,0.15,0.26,0.10,0.26,Matches,e61b8aee
545,Ryan Yates,eng ENG,MF,Nott'ham Forest,25-157,1997,21,17,1494,16.6,0,2,2,0,0,0,4,0,2.2,2.2,1.2,3.4,10,37,23,0.00,0.12,0.12,0.00,0.12,0.13,0.07,0.20,0.13,0.20,Matches,c1fe2a48
546,Ashley Young,eng ENG,DF,Aston Villa,37-292,1985,25,20,1781,19.8,1,0,1,1,0,0,5,0,0.3,0.3,0.9,1.2,24,96,32,0.05,0.00,0.05,0.05,0.05,0.02,0.04,0.06,0.02,0.06,Matches,be927d03
547,Illia Zabarnyi,ua UKR,DF,Bournemouth,20-238,2002,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,88968486
548,Wilfried Zaha,ci CIV,FWMF,Crystal Palace,30-168,1992,24,24,2065,22.9,6,2,8,6,0,2,4,0,5.9,4.2,2.5,6.7,70,60,212,0.26,0.09,0.35,0.26,0.35,0.26,0.11,0.37,0.18,0.29,Matches,b2bc3b1f
549,Denis Zakaria,ch SUI,MF,Chelsea,26-158,1996,7,5,411,4.6,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,9,6,3,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches,384d58d9
550,Jordan Zemura,zw ZIM,DF,Bournemouth,23-164,1999,19,17,1454,16.2,0,1,1,0,0,0,1,0,0.4,0.4,1.9,2.2,39,45,48,0.00,0.06,0.06,0.00,0.06,0.02,0.11,0.14,0.02,0.14,Matches,e8271ad9
551,Oleksandr Zinchenko,ua UKR,DF,Arsenal,26-133,1996,25,24,1986,22.1,1,2,3,1,0,0,3,0,1.4,1.4,1.4,2.8,66,215,67,0.05,0.09,0.14,0.05,0.14,0.06,0.06,0.13,0.06,0.13,Matches,51cf8561
552,Hakim Ziyech,ma MAR,FWMF,Chelsea,30-039,1993,14,6,607,6.7,0,1,1,0,0,0,1,0,0.6,0.6,1.5,2.0,15,36,58,0.00,0.15,0.15,0.00,0.15,0.08,0.22,0.30,0.08,0.30,Matches,6622454d
553,Kurt Zouma,fr FRA,DF,West Ham,28-182,1994,23,22,1926,21.4,2,0,2,2,0,0,0,0,2.2,2.2,0.1,2.3,3,30,1,0.09,0.00,0.09,0.09,0.09,0.10,0.00,0.11,0.10,0.11,Matches,ce4246f5
554,Martin Ødegaard,no NOR,MF,Arsenal,24-131,1998,32,32,2718,30.2,12,7,19,12,0,0,4,0,8.9,8.9,7.1,16.0,73,234,168,0.40,0.23,0.63,0.40,0.63,0.30,0.23,0.53,0.30,0.53,Matches,79300479
