,,,,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
111,Matheus Cunha,br BRA,FW,Wolves,23-336,1999,9.3,5,2,0,4,1,1,8,12.5,7,13,3,10,7,12,7,0,Matches,dc62b55d
112,Patson Daka,zm ZAM,FW,Leicester City,24-201,1998,12.0,11,7,4,7,0,3,11,27.3,8,11,2,9,5,16,6,0,Matches,ca45605e
113,Diogo Dalot,pt POR,DF,Manchester Utd,24-041,1999,20.9,49,37,36,12,1,30,42,71.4,12,24,7,17,32,81,47,2,Matches,d9565625
114,Mikkel Damsgaard,dk DEN,MFFW,Brentford,22-299,2000,8.1,21,15,9,9,3,9,35,25.7,26,14,1,13,9,30,12,0,Matches,215f3907
115,Danilo,br BRA,MF,Nott'ham Forest,21-364,2001,7.1,12,5,5,5,2,3,17,17.6,14,17,5,12,4,16,15,0,Matches,a816dbfb
116,Arnaut Danjuma,nl NED,FWMF,Tottenham,26-087,1997,1.0,2,0,1,1,0,0,0,,0,1,0,1,0,2,0,0,Matches,f08490a6
117,Josh Dasilva,eng ENG,MF,Brentford,24-187,1998,14.5,18,9,6,6,6,6,15,40.0,9,22,6,16,4,22,7,1,Matches,60344e4f
118,Ben Davies,wls WAL,DF,Tottenham,30-004,1993,20.5,17,8,7,9,1,8,17,47.1,9,15,6,9,16,33,60,0,Matches,44781702
119,Tom Davies,eng ENG,MF,Everton,24-302,1998,6.0,15,9,5,9,1,7,14,50.0,7,10,1,9,4,19,7,1,Matches,9228b07c
120,Craig Dawson,eng ENG,DF,West Ham,32-357,1990,8.0,10,6,8,2,0,4,6,66.7,2,9,6,3,6,16,26,0,Matches,3e9e06cb
121,Craig Dawson,eng ENG,DF,Wolves,32-357,1990,12.2,8,5,6,2,0,4,7,57.1,3,23,18,5,6,14,60,1,Matches,3e9e06cb
122,Kevin De Bruyne,be BEL,MF,Manchester City,31-304,1991,25.1,25,10,3,11,11,12,37,32.4,25,25,2,23,7,32,10,0,Matches,e46012d4
