,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
530,Wout Weghorst,nl NED,FWMF,Manchester Utd,30-264,1992,7.4,0,10,3,30.0,1.36,0.41,0.00,0.00,12.2,0,0,0,1.3,1.3,0.13,-1.3,-1.3,Matches,c4e87b8b
531,Danny Welbeck,eng ENG,FW,Brighton,32-153,1990,16.6,4,48,18,37.5,2.89,1.09,0.08,0.22,13.7,0,0,0,7.9,7.9,0.16,-3.9,-3.9,Matches,ce5143da
532,Ben White,eng ENG,DF,Arsenal,25-202,1997,28.9,2,10,2,20.0,0.35,0.07,0.20,1.00,16.7,0,0,0,1.3,1.3,0.13,+0.7,+0.7,Matches,35e413f1
533,Harvey White,eng ENG,MF,Tottenham,21-221,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4d90ce8c
534,Joseph Whitworth,eng ENG,GK,Crystal Palace,19-058,2004,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3f847d95
535,Neco Williams,wls WAL,DF,Nott'ham Forest,22-015,2001,20.9,1,25,7,28.0,1.20,0.33,0.04,0.14,21.2,2,0,0,1.3,1.3,0.05,-0.3,-0.3,Matches,dd323728
536,Willian,br BRA,FW,Fulham,34-262,1988,19.0,3,33,13,39.4,1.74,0.68,0.09,0.23,17.5,1,0,0,2.9,2.9,0.09,+0.1,+0.1,Matches,8b9ebd03
537,Joe Willock,eng ENG,MF,Newcastle Utd,23-251,1999,25.0,3,49,14,28.6,1.96,0.56,0.06,0.21,16.9,0,0,0,6.4,6.4,0.13,-3.4,-3.4,Matches,a3b03921
538,Callum Wilson,eng ENG,FW,Newcastle Utd,31-060,1992,16.7,13,53,25,47.2,3.17,1.50,0.23,0.48,12.8,0,1,1,11.1,10.4,0.20,+1.9,+1.6,Matches,c596fcb0
539,Harry Wilson,wls WAL,FW,Fulham,26-037,1997,7.3,2,15,4,26.7,2.07,0.55,0.13,0.50,16.0,0,0,0,1.8,1.8,0.12,+0.2,+0.2,Matches,c6dc9ecd
540,Yoane Wissa,cd COD,FW,Brentford,26-237,1996,14.7,5,25,11,44.0,1.70,0.75,0.20,0.45,14.9,0,0,0,3.9,3.9,0.16,+1.1,+1.1,Matches,2500cef9
541,Maximilian Wöber,at AUT,DF,Leeds United,25-083,1998,9.8,0,7,1,14.3,0.72,0.10,0.00,0.00,14.0,1,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches,4b803b3c
542,Chris Wood,nz NZL,FW,Newcastle Utd,31-142,1991,5.0,2,8,3,37.5,1.61,0.61,0.13,0.33,14.7,0,1,1,1.8,1.0,0.13,+0.2,0.0,Matches,4e9a0555
543,Chris Wood,nz NZL,FW,Nott'ham Forest,31-142,1991,4.1,1,3,1,33.3,0.73,0.24,0.33,1.00,8.2,0,0,0,1.0,1.0,0.32,0.0,0.0,Matches,4e9a0555
544,Joe Worrall,eng ENG,DF,Nott'ham Forest,26-108,1997,20.4,1,5,1,20.0,0.24,0.05,0.20,1.00,12.7,0,0,0,0.5,0.5,0.11,+0.5,+0.5,Matches,a5212312
545,Granit Xhaka,ch SUI,MF,Arsenal,30-213,1992,29.1,5,32,9,28.1,1.10,0.31,0.16,0.56,17.9,3,0,0,3.0,3.0,0.09,+2.0,+2.0,Matches,e61b8aee
546,Ryan Yates,eng ENG,MF,Nott'ham Forest,25-158,1997,16.6,0,25,5,20.0,1.51,0.30,0.00,0.00,16.9,0,0,0,2.2,2.2,0.09,-2.2,-2.2,Matches,c1fe2a48
547,Ashley Young,eng ENG,DF,Aston Villa,37-293,1985,19.8,1,12,3,25.0,0.61,0.15,0.08,0.33,26.8,0,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches,be927d03
548,Illia Zabarnyi,ua UKR,DF,Bournemouth,20-239,2002,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,88968486
549,Wilfried Zaha,ci CIV,FWMF,Crystal Palace,30-169,1992,22.9,6,56,20,35.7,2.44,0.87,0.11,0.30,17.1,0,0,2,5.9,4.2,0.08,+0.1,+1.8,Matches,b2bc3b1f
550,Denis Zakaria,ch SUI,MF,Chelsea,26-159,1996,4.6,0,2,0,0.0,0.44,0.00,0.00,,16.9,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches,384d58d9
551,Jordan Zemura,zw ZIM,DF,Bournemouth,23-165,1999,16.2,0,4,0,0.0,0.25,0.00,0.00,,12.9,0,0,0,0.4,0.4,0.10,-0.4,-0.4,Matches,e8271ad9
552,Oleksandr Zinchenko,ua UKR,DF,Arsenal,26-134,1996,22.1,1,28,7,25.0,1.27,0.32,0.04,0.14,22.7,0,0,0,1.4,1.4,0.05,-0.4,-0.4,Matches,51cf8561
553,Hakim Ziyech,ma MAR,FWMF,Chelsea,30-040,1993,6.7,0,13,2,15.4,1.93,0.30,0.00,0.00,21.0,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches,6622454d
554,Kurt Zouma,fr FRA,DF,West Ham,28-183,1994,21.4,2,19,5,26.3,0.89,0.23,0.11,0.40,10.1,0,0,0,2.2,2.2,0.12,-0.2,-0.2,Matches,ce4246f5
555,Martin Ødegaard,no NOR,MF,Arsenal,24-132,1998,30.2,12,83,25,30.1,2.75,0.83,0.14,0.48,19.1,8,0,0,8.9,8.9,0.11,+3.1,+3.1,Matches,79300479
