,,,,,,,,Touches,,,,,,,Take-Ons,,,,,Carries,,,,,,,,Receiving,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,-9999
96,Conor Coady,eng ENG,DF,Everton,30-062,1993,21.9,1299,224,753,525,29,10,1299,3,0,0.0,2,66.7,842,3969,2350,4,4,0,6,2,934,1,Matches,2928dca2
97,Jack Colback,eng ENG,MF,Nott'ham Forest,33-186,1989,5.5,189,16,65,100,27,1,189,4,3,75.0,0,0.0,75,404,210,5,5,0,5,1,88,3,Matches,963a9201
98,Séamus Coleman,ie IRL,DF,Everton,34-199,1988,17.9,945,81,331,397,223,20,945,34,15,44.1,15,44.1,440,1958,858,13,10,3,29,6,461,34,Matches,0420d84f
99,Nathan Collins,ie IRL,DF,Wolves,21-363,2001,17.6,1186,176,696,454,43,12,1186,7,6,85.7,0,0.0,645,3166,1669,11,9,2,9,6,813,5,Matches,a8c19eb8
100,Levi Colwill,eng ENG,DF,Brighton,20-061,2003,8.9,829,90,380,417,34,4,829,0,0,,0,,557,3282,2137,13,7,0,4,3,611,3,Matches,700783e7
101,Lewis Cook,eng ENG,MF,Bournemouth,26-084,1997,17.4,842,59,253,433,167,9,842,18,7,38.9,9,50.0,376,2010,763,9,15,1,14,14,457,8,Matches,2afc7272
102,Steve Cook,eng ENG,DF,Nott'ham Forest,32-009,1991,10.6,559,100,321,220,19,10,559,1,1,100.0,0,0.0,284,1293,577,1,3,0,3,2,350,0,Matches,3e5e4e63
103,Liam Cooper,sct SCO,DF,Leeds United,31-241,1991,14.5,871,99,459,385,33,20,871,4,1,25.0,1,25.0,422,1932,845,2,3,1,9,1,448,2,Matches,dc64b8b3
104,Maxwel Cornet,ci CIV,FW,West Ham,26-213,1996,1.8,82,0,9,28,45,9,82,3,2,66.7,1,33.3,51,223,122,9,1,5,6,2,62,24,Matches,beb391dd
105,Diego Costa,es ESP,FW,Wolves,34-203,1988,11.3,274,17,31,104,142,54,274,9,4,44.4,5,55.6,155,898,294,16,8,10,20,23,200,54,Matches,a190d597
106,Vladimír Coufal,cz CZE,DF,West Ham,30-249,1992,20.1,1207,79,357,486,368,16,1207,15,2,13.3,6,40.0,481,2850,1486,46,29,1,21,16,568,88,Matches,fdf3cb77
107,Philippe Coutinho,br BRA,MFFW,Aston Villa,30-320,1992,8.8,500,2,34,259,213,24,500,34,14,41.2,15,44.1,309,1747,739,18,28,5,23,17,369,68,Matches,0ef89a37
108,Conor Coventry,ie IRL,MFFW,West Ham,23-034,2000,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches,a5ca9127
109,Aaron Cresswell,eng ENG,DF,West Ham,33-134,1989,21.6,1415,84,438,576,406,13,1415,7,2,28.6,4,57.1,657,3025,1517,31,23,1,6,6,834,73,Matches,4f974391
110,Marc Cucurella,es ESP,DF,Chelsea,24-280,1998,18.6,1490,63,470,672,358,12,1490,14,5,35.7,6,42.9,787,3205,1797,30,20,2,14,6,906,65,Matches,1daec722
111,Matheus Cunha,br BRA,FW,Wolves,23-336,1999,9.3,322,9,50,148,130,42,322,28,16,57.1,8,28.6,173,946,390,13,5,6,29,11,196,40,Matches,dc62b55d
112,Patson Daka,zm ZAM,FW,Leicester City,24-201,1998,12.0,387,12,35,157,198,53,387,17,7,41.2,7,41.2,180,992,448,18,8,9,42,17,251,74,Matches,ca45605e
113,Diogo Dalot,pt POR,DF,Manchester Utd,24-041,1999,20.9,1483,108,508,630,353,36,1483,32,18,56.3,7,21.9,781,3914,1984,43,28,12,15,5,877,76,Matches,d9565625
114,Mikkel Damsgaard,dk DEN,MFFW,Brentford,22-299,2000,8.1,390,8,79,197,121,15,390,16,7,43.8,6,37.5,203,780,422,7,7,1,11,3,225,31,Matches,215f3907
115,Danilo,br BRA,MF,Nott'ham Forest,21-364,2001,7.1,270,20,89,128,59,11,270,16,11,68.8,4,25.0,126,609,314,8,6,4,14,6,121,12,Matches,a816dbfb
116,Arnaut Danjuma,nl NED,FWMF,Tottenham,26-087,1997,1.0,40,1,2,18,20,5,40,4,3,75.0,1,25.0,20,131,86,4,2,2,1,2,29,12,Matches,f08490a6
117,Josh Dasilva,eng ENG,MF,Brentford,24-187,1998,14.5,709,15,136,318,265,30,709,50,27,54.0,15,30.0,488,3042,1430,53,36,7,28,27,516,55,Matches,60344e4f
118,Ben Davies,wls WAL,DF,Tottenham,30-004,1993,20.5,1236,78,430,631,178,26,1236,11,4,36.4,6,54.5,720,3819,2360,30,29,3,11,5,869,54,Matches,44781702
119,Tom Davies,eng ENG,MF,Everton,24-302,1998,6.0,309,13,74,183,54,15,309,6,3,50.0,3,50.0,150,616,253,2,1,0,17,4,201,13,Matches,9228b07c
120,Craig Dawson,eng ENG,DF,West Ham,32-357,1990,8.0,380,53,211,142,28,14,380,1,0,0.0,1,100.0,193,1042,600,0,5,0,2,4,216,1,Matches,3e9e06cb
121,Craig Dawson,eng ENG,DF,Wolves,32-357,1990,12.2,864,141,481,360,26,13,864,2,2,100.0,0,0.0,513,2088,1055,4,3,0,4,1,597,1,Matches,3e9e06cb
122,Kevin De Bruyne,be BEL,MF,Manchester City,31-304,1991,25.1,1703,12,90,667,967,96,1703,55,30,54.5,17,30.9,1018,5332,3237,100,75,16,40,27,1319,231,Matches,e46012d4
123,Siriki Dembélé,ci CIV,FWMF,Bournemouth,26-233,1996,1.2,71,1,10,30,33,3,71,10,6,60.0,3,30.0,47,311,160,5,2,1,9,5,50,11,Matches,11f54bd5
124,Leander Dendoncker,be BEL,MF,Aston Villa,28-013,1995,7.0,329,18,88,196,46,7,329,4,2,50.0,2,50.0,150,705,248,1,5,0,8,2,190,2,Matches,5a7301ae
125,Leander Dendoncker,be BEL,MF,Wolves,28-013,1995,2.4,128,6,33,75,21,5,128,2,1,50.0,1,50.0,60,205,77,1,0,0,2,2,77,3,Matches,5a7301ae
126,Emmanuel Dennis,ng NGA,FWMF,Nott'ham Forest,25-164,1997,7.8,324,5,53,115,170,40,324,52,18,34.6,25,48.1,205,1454,802,23,14,8,30,23,213,61,Matches,2c44a35d
127,Halil Dervişoğlu,tr TUR,MF,Brentford,23-141,1999,0.1,1,0,0,0,1,0,1,0,0,,0,,2,13,0,0,0,1,0,1,2,0,Matches,9d8cf204
128,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,24-234,1998,24.7,1424,45,268,762,418,48,1424,67,37,55.2,24,35.8,855,4926,2397,64,32,15,71,30,990,88,Matches,5c74c0f5
129,Ibrahima Diallo,fr FRA,MF,Southampton,24-051,1999,9.1,499,18,128,308,74,4,499,13,8,61.5,5,38.5,287,1445,710,9,4,0,16,9,294,6,Matches,11ff3d56
130,Rúben Dias,pt POR,DF,Manchester City,25-349,1997,19.2,1897,155,759,1068,76,21,1897,8,6,75.0,1,12.5,1260,6780,4101,9,18,1,1,3,1510,2,Matches,31c69ef1
131,Luis Díaz,co COL,FW,Liverpool,26-105,1997,7.4,393,3,24,175,199,49,393,37,17,45.9,13,35.1,287,1836,728,23,17,14,18,27,331,78,Matches,4a1a9578
132,Eric Dier,eng ENG,DF,Tottenham,29-103,1994,30.3,2212,356,1288,849,84,25,2212,6,3,50.0,2,33.3,1337,6056,2799,9,9,1,10,3,1562,14,Matches,ac861941
133,Lucas Digne,fr FRA,DF,Aston Villa,29-282,1993,14.9,998,56,334,362,308,21,998,16,1,6.3,11,68.8,507,2118,1135,24,12,1,16,11,585,83,Matches,1b84dbe1
134,Issa Diop,fr FRA,DF,Fulham,26-109,1997,16.7,1188,125,575,600,25,8,1188,4,2,50.0,1,25.0,742,4929,3177,10,5,0,5,1,812,3,Matches,a712ca2b
