,,,,,,,,SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,-9999
121,Craig Dawson,eng ENG,DF,Wolves,32-357,1990,12.2,5,0.41,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,3e9e06cb
122,Kevin De Bruyne,be BEL,MF,Manchester City,31-304,1991,25.1,166,6.62,113,31,8,7,4,3,31,1.24,24,3,1,1,2,0,Matches,e46012d4
123,Siriki Dembélé,ci CIV,FWMF,Bournemouth,26-233,1996,1.2,5,4.09,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,11f54bd5
124,Leander Dendoncker,be BEL,MF,Aston Villa,28-013,1995,7.0,8,1.14,6,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches,5a7301ae
125,Leander Dendoncker,be BEL,MF,Wolves,28-013,1995,2.4,4,1.68,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,5a7301ae
126,Emmanuel Dennis,ng NGA,FWMF,Nott'ham Forest,25-164,1997,7.8,25,3.21,14,1,2,2,6,0,3,0.38,2,0,0,0,1,0,Matches,2c44a35d
127,Halil Dervişoğlu,tr TUR,MF,Brentford,23-141,1999,0.1,1,11.25,0,0,0,1,0,0,1,11.25,0,0,0,1,0,0,Matches,9d8cf204
128,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,24-234,1998,24.7,72,2.92,56,0,7,2,5,2,9,0.36,6,0,1,0,1,1,Matches,5c74c0f5
129,Ibrahima Diallo,fr FRA,MF,Southampton,24-051,1999,9.1,10,1.10,8,0,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches,11ff3d56
130,Rúben Dias,pt POR,DF,Manchester City,25-349,1997,19.2,14,0.73,10,1,0,3,0,0,1,0.05,1,0,0,0,0,0,Matches,31c69ef1
131,Luis Díaz,co COL,FW,Liverpool,26-105,1997,7.4,24,3.25,16,0,4,2,2,0,5,0.68,2,0,2,1,0,0,Matches,4a1a9578
132,Eric Dier,eng ENG,DF,Tottenham,29-103,1994,30.3,29,0.96,24,1,0,4,0,0,2,0.07,1,0,0,1,0,0,Matches,ac861941
133,Lucas Digne,fr FRA,DF,Aston Villa,29-282,1993,14.9,27,1.82,23,3,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,1b84dbe1
134,Issa Diop,fr FRA,DF,Fulham,26-109,1997,16.7,7,0.42,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,a712ca2b
135,Moussa Djenepo,ml MLI,DFFW,Southampton,24-317,1998,7.0,16,2.29,11,0,2,1,2,0,4,0.57,2,0,2,0,0,0,Matches,254147d4
136,Ben Doak,sct SCO,FW,Liverpool,17-168,2005,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,733f1a7d
137,Matt Doherty,ie IRL,DFMF,Tottenham,31-102,1992,7.4,18,2.43,13,0,2,2,1,0,3,0.41,2,0,0,1,0,0,Matches,d557d734
138,Gabriel Dos Santos,br BRA,DF,Arsenal,25-130,1997,32.9,23,0.70,20,0,0,2,0,1,2,0.06,2,0,0,0,0,0,Matches,67ac5bb8
139,Abdoulaye Doucouré,ml MLI,MF,Everton,30-117,1993,12.0,33,2.75,28,0,3,2,0,0,2,0.17,2,0,0,0,0,0,Matches,02b29014
140,Cheick Doucouré,ml MLI,MF,Crystal Palace,23-110,2000,26.1,53,2.03,40,0,2,5,2,4,5,0.19,3,0,0,1,0,1,Matches,ce4f40c7
141,Flynn Downes,eng ENG,MF,West Ham,24-098,1999,5.5,10,1.81,5,0,0,3,2,0,0,0.00,0,0,0,0,0,0,Matches,69fdb896
142,Cody Drameh,eng ENG,DF,Leeds United,21-141,2001,0.8,1,1.30,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e0d1510a
143,Martin Dúbravka,sk SVK,GK,Newcastle Utd,34-103,1989,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,3a949a25
144,Shane Duffy,ie IRL,FWDF,Fulham,31-117,1992,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,7314bba4
145,Lewis Dunk,eng ENG,DF,Brighton,31-158,1991,30.0,24,0.80,23,0,0,1,0,0,2,0.07,2,0,0,0,0,0,Matches,282f75f3
146,Jhon Durán,co COL,FW,Aston Villa,19-136,2003,0.9,3,3.21,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,414184f7
147,Malcolm Ebiowei,eng ENG,MFFW,Crystal Palace,19-236,2003,0.4,1,2.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,fa9fa773
148,Ederson,br BRA,GK,Manchester City,29-254,1993,31.0,2,0.06,2,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches,3bb7b8b4
149,Odsonne Édouard,fr FRA,FW,Crystal Palace,25-102,1998,17.8,41,2.30,30,0,1,9,1,0,4,0.22,4,0,0,0,0,0,Matches,0562b7f1
150,Samuel Edozie,eng ENG,FWMF,Southampton,20-090,2003,6.1,18,2.94,11,0,3,0,4,0,0,0.00,0,0,0,0,0,0,Matches,007414dd
151,Anthony Elanga,se SWE,FW,Manchester Utd,21-001,2002,4.7,17,3.59,13,0,0,3,1,0,1,0.21,1,0,0,0,0,0,Matches,2fba6108
152,Harvey Elliott,eng ENG,MFFW,Liverpool,20-024,2003,16.6,64,3.85,51,1,5,5,1,1,8,0.48,8,0,0,0,0,0,Matches,c8387671
153,Mohamed Elneny,eg EGY,MF,Arsenal,30-291,1992,1.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,47a34c4f
154,Mohamed Elyounoussi,no NOR,MFFW,Southampton,28-267,1994,22.2,40,1.80,34,0,1,2,2,1,4,0.18,4,0,0,0,0,0,Matches,68dc0dac
155,Emerson,br BRA,DF,Tottenham,24-104,1999,15.5,33,2.14,31,0,0,0,1,1,2,0.13,2,0,0,0,0,0,Matches,df8b52a5
156,Christian Eriksen,dk DEN,MF,Manchester Utd,31-073,1992,18.2,57,3.12,41,13,1,2,0,0,8,0.44,6,2,0,0,0,0,Matches,980522ec
157,Pervis Estupiñán,ec ECU,DF,Brighton,25-097,1998,22.2,68,3.06,63,1,2,0,2,0,6,0.27,5,0,0,0,1,0,Matches,d38fdf53
158,Jonny Evans,nir NIR,DF,Leicester City,35-115,1988,9.0,4,0.44,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,f8fcd2a5
